public_id,name,type,subtype,status,frequency,locations,monitor_id,device_ids,tags,schedule_timezone,schedule_windows
bwn-6x6-n75,schoolgen.co.nz,browser,N/A,paused,24 hours,"aws:ap-southeast-2, aws:us-west-2",173955321,"chrome.laptop_large, firefox.laptop_large, edge.laptop_large, chrome.tablet, chrome.mobile_small, edge.tablet, edge.mobile_small, firefox.tablet, firefox.mobile_small","team:ge-digital-services, env:prod",Pacific/Auckland,Mon 09:00-09:30; Tue 09:00-09:30; Wed 09:00-09:30; Thu 09:00-09:30; Fri 09:00-09:30
k5n-2b3-dbf,join.genesisenergy.co.nz,browser,N/A,paused,3 hours,"aws:ap-southeast-2, aws:us-west-2",173959030,"chrome.laptop_large, firefox.laptop_large, edge.laptop_large","team:ddsit-cloud, env:prod",Pacific/Auckland,Mon 07:00-21:00; Tue 07:00-21:00; Wed 07:00-21:00; Thu 07:00-21:00; Fri 07:00-21:00; Sat 07:00-21:00; Sun 07:00-21:00
nza-pka-u6a,Envision - Prod,browser,N/A,paused,24 hours,"aws:ap-southeast-2, aws:us-west-2",173959190,"chrome.laptop_large, firefox.laptop_large, edge.laptop_large","team:ge-digital-services, env:prod",Pacific/Auckland,Mon 09:00-16:00; Tue 09:00-16:00; Wed 09:00-16:00; Thu 09:00-16:00; Fri 09:00-16:00
iy6-83b-n8g,Frank My Account - Logon,browser,N/A,paused,15 minutes,aws:ap-southeast-2,173959802,"chrome.laptop_large, firefox.laptop_large, edge.laptop_large, chrome.tablet, edge.tablet, firefox.tablet","team:ddsit-cloud, env:prod",N/A,N/A
edr-ir9-7hq,Tempo Admin Ops Console Endpoint,api,http,live,15 minutes,aws:ap-southeast-2,174034358,N/A,"tier:Tier 2, env:prod, team:ddsit-cloud",N/A,N/A
785-46h-7rf,Tempo HandHeld Endpoint,api,http,live,5 minutes,aws:ap-southeast-2,174035639,N/A,"tier:Tier 2, env:prod, team:ddsit-cloud",N/A,N/A
5xz-yix-39h,Energy IQ Logon and Usage,browser,N/A,paused,15 minutes,"aws:ap-southeast-2, aws:us-west-2",174185830,"chrome.laptop_large, firefox.laptop_large, edge.laptop_large","service:eiq, env:prod, team:ge-digital-services",N/A,N/A
bqx-2en-ux7,genesisschoolgentrust.org.nz,browser,N/A,paused,24 hours,"aws:ap-southeast-2, aws:us-west-2",174186704,"chrome.laptop_large, firefox.laptop_large, edge.laptop_large","team:ge-digital-services, env:prod",Pacific/Auckland,Mon 09:00-09:30; Tue 09:00-09:30; Wed 09:00-09:30; Thu 09:00-09:30; Fri 09:00-09:30
pij-z9j-zrb,Test on derive.genesisenergy.co.nz,api,http,live,3 minutes,aws:ap-southeast-2,189228932,N/A,"env:prod, service:app_service",Pacific/Auckland,Mon 06:00-18:00; Tue 06:00-18:00; Wed 06:00-18:00; Thu 06:00-18:00; Fri 06:00-18:00; Sat 06:00-18:00; Sun 06:00-18:00
bva-3qe-f8q,Frank Price Page ,browser,N/A,paused,1 hour,"aws:ap-southeast-2, aws:us-west-2",239831444,"chrome.laptop_large, firefox.laptop_large, edge.laptop_large","team:ge-digital-services, env:prod",N/A,N/A
crt-cbg-ij4,Hydro,browser,N/A,paused,5 minutes,"aws:af-south-1, aws:ap-east-1, aws:ap-northeast-1, aws:ap-northeast-2, aws:ap-northeast-3, aws:ap-south-1, aws:ap-southeast-1, aws:ap-southeast-2, aws:ap-southeast-3, aws:ca-central-1, aws:eu-central-1, aws:eu-north-1, aws:eu-south-1, aws:eu-west-1, aws:eu-west-2, aws:eu-west-3, aws:me-south-1, aws:sa-east-1, aws:us-east-1, aws:us-east-2, aws:us-west-1, aws:us-west-2, azure:eastus, gcp:asia-northeast1, gcp:europe-west3, gcp:us-east4, gcp:us-south1, gcp:us-west1, gcp:us-west2",239834345,"chrome.laptop_large, firefox.laptop_large, edge.laptop_large",N/A,N/A,N/A
